City,Category,Year,Degree,Closeness,Betweenness,Eigenvector,SourceFile,Score_Equal,Score_Corr,Score_Category
Larkana,Meat_Poultry_Dairy,2023,1.0,1.0,0.0,0.2425356250363329,Meat_Poultry_Dairy_2023_centrality_tau0.7.csv,0.5606339062590833,,0.08409508593886249
Multan,Meat_Poultry_Dairy,2023,1.0,1.0,0.0,0.2425356250363329,Meat_Poultry_Dairy_2023_centrality_tau0.7.csv,0.5606339062590833,,0.08409508593886249
Peshawar,Meat_Poultry_Dairy,2023,1.0,1.0,0.0,0.2425356250363329,Meat_Poultry_Dairy_2023_centrality_tau0.7.csv,0.5606339062590833,,0.08409508593886249
Quetta,Meat_Poultry_Dairy,2023,1.0,1.0,0.0,0.2425356250363329,Meat_Poultry_Dairy_2023_centrality_tau0.7.csv,0.5606339062590833,,0.08409508593886249
Rawalpindi,Meat_Poultry_Dairy,2023,1.0,1.0,0.0,0.2425356250363329,Meat_Poultry_Dairy_2023_centrality_tau0.7.csv,0.5606339062590833,,0.08409508593886249
Sargodha,Meat_Poultry_Dairy,2023,1.0,1.0,0.0,0.2425356250363329,Meat_Poultry_Dairy_2023_centrality_tau0.7.csv,0.5606339062590833,,0.08409508593886249
Sialkot,Meat_Poultry_Dairy,2023,1.0,1.0,0.0,0.2425356250363329,Meat_Poultry_Dairy_2023_centrality_tau0.7.csv,0.5606339062590833,,0.08409508593886249
Sukkur,Meat_Poultry_Dairy,2023,1.0,1.0,0.0,0.2425356250363329,Meat_Poultry_Dairy_2023_centrality_tau0.7.csv,0.5606339062590833,,0.08409508593886249
Bahawalpur,Meat_Poultry_Dairy,2024,1.0,1.0,0.0,0.2425356250363329,Meat_Poultry_Dairy_2024_centrality_tau0.7.csv,0.5606339062590833,,0.08409508593886249
Bannu,Meat_Poultry_Dairy,2024,1.0,1.0,0.0,0.2425356250363329,Meat_Poultry_Dairy_2024_centrality_tau0.7.csv,0.5606339062590833,,0.08409508593886249
Faisalabad,Meat_Poultry_Dairy,2024,1.0,1.0,0.0,0.2425356250363329,Meat_Poultry_Dairy_2024_centrality_tau0.7.csv,0.5606339062590833,,0.08409508593886249
Gujranwala,Meat_Poultry_Dairy,2024,1.0,1.0,0.0,0.2425356250363329,Meat_Poultry_Dairy_2024_centrality_tau0.7.csv,0.5606339062590833,,0.08409508593886249
Hyderabad,Meat_Poultry_Dairy,2024,1.0,1.0,0.0,0.2425356250363329,Meat_Poultry_Dairy_2024_centrality_tau0.7.csv,0.5606339062590833,,0.08409508593886249
Islamabad,Meat_Poultry_Dairy,2024,1.0,1.0,0.0,0.2425356250363329,Meat_Poultry_Dairy_2024_centrality_tau0.7.csv,0.5606339062590833,,0.08409508593886249
Karachi,Meat_Poultry_Dairy,2024,1.0,1.0,0.0,0.2425356250363329,Meat_Poultry_Dairy_2024_centrality_tau0.7.csv,0.5606339062590833,,0.08409508593886249
Khuzdar,Meat_Poultry_Dairy,2024,1.0,1.0,0.0,0.2425356250363329,Meat_Poultry_Dairy_2024_centrality_tau0.7.csv,0.5606339062590833,,0.08409508593886249
Lahore,Meat_Poultry_Dairy,2024,1.0,1.0,0.0,0.2425356250363329,Meat_Poultry_Dairy_2024_centrality_tau0.7.csv,0.5606339062590833,,0.08409508593886249
Larkana,Meat_Poultry_Dairy,2024,1.0,1.0,0.0,0.2425356250363329,Meat_Poultry_Dairy_2024_centrality_tau0.7.csv,0.5606339062590833,,0.08409508593886249
Multan,Meat_Poultry_Dairy,2024,1.0,1.0,0.0,0.2425356250363329,Meat_Poultry_Dairy_2024_centrality_tau0.7.csv,0.5606339062590833,,0.08409508593886249
Peshawar,Meat_Poultry_Dairy,2024,1.0,1.0,0.0,0.2425356250363329,Meat_Poultry_Dairy_2024_centrality_tau0.7.csv,0.5606339062590833,,0.08409508593886249
Quetta,Meat_Poultry_Dairy,2024,1.0,1.0,0.0,0.2425356250363329,Meat_Poultry_Dairy_2024_centrality_tau0.7.csv,0.5606339062590833,,0.08409508593886249
